phenotype	predictor	pearson_r	spearman_rho	pearson_p	spearman_p	n
FOODINNO2025_ResEff	Mass	-0.115060588774225	-0.187504591595394	0.300295787381388	0.0896149953241335	83
FOODINNO2025_ResEff	GenerationLength	-0.063244957648585	-0.0958963686081399	0.574852350591936	0.394426222839934	81
FOODINNO2025_ResEff	Range.Size	0.299476549291061	0.205325189184613	0.00595202732070722	0.0625853738396686	83
FOODINNO2025_ResEff	HabitatBreadth	0.261352623706029	0.203291282718667	0.0170066083789099	0.0652877587316325	83
FOODINNO2025_ResEff	DietBreadth	0.208317399115286	0.199166787199721	0.0587754146928671	0.0710576766173809	83
FOODINNO2025_ResEff	UrbanFULL	0.255649053481862	0.20392173219152	0.0204425138752461	0.0661211232440267	82
FOODINNO2025_ResEff	Migration	-0.153440402171408	-0.143842123252057	0.166075432241844	0.194511336212906	83
FOODINNO2025_ResEff	Trophic_level	NA	NA	NA	NA	1
TECHINNO2025	Brain_size	-0.117145357292924	-0.173339508470233	0.316865313946755	0.136952938677899	75
TECHINNO2025	Relative_brain_size	-0.0105529083874715	0.194585138174431	0.927909035320232	0.0921079772789759	76
TECHINNO2025	Mass	-0.112275685623545	-0.235473185750778	0.312223647969605	0.0321163179282819	83
TECHINNO2025	GenerationLength	-0.0679554419168883	-0.1482981772238	0.5466481023867	0.186415412566113	81
TECHINNO2025	Range.Size	0.467087326352257	0.245541401208791	8.52901156274341e-06	0.0252579104759195	83
TECHINNO2025	HabitatBreadth	0.423014128128395	0.349359556014283	6.77266005902547e-05	0.00120710734179722	83
TECHINNO2025	DietBreadth	-0.0358076071435659	0.0371238923893931	0.747923552208135	0.738983019225232	83
TECHINNO2025	UrbanFULL	0.302886521120211	0.312473994870175	0.00567592960566812	0.00426225395170892	82
TECHINNO2025	Migration	-0.135651960130447	-0.162551982653491	0.221417731844288	0.142037840628006	83
TECHINNO2025	Trophic_level	NA	NA	NA	NA	1
TECHINNO2025_ResEff	Brain_size	-0.171881535912305	-0.173443623358749	0.14033772247622	0.136713609148879	75
TECHINNO2025_ResEff	Relative_brain_size	-0.012884840063232	0.235768578793837	0.912036354613244	0.0403332570157557	76
TECHINNO2025_ResEff	Mass	-0.155911789138132	-0.251942886232459	0.159277415503713	0.0215790065562243	83
TECHINNO2025_ResEff	GenerationLength	-0.0961129407780146	-0.190487218129116	0.393354314258604	0.0884982130326942	81
TECHINNO2025_ResEff	Range.Size	0.370263226743256	0.114762786842953	0.000570178359970552	0.301556857195173	83
TECHINNO2025_ResEff	HabitatBreadth	0.400670436248644	0.22849946212893	0.000174411079657475	0.0377340543597737	83
TECHINNO2025_ResEff	DietBreadth	-0.0615056798981527	-0.000928740842410069	0.580695688775661	0.993351375552846	83
