branch_id	parent	child	parent_value	child_value	branch_length	delta
edge_71	119	34	0.798118073796037	1.325207342	0.0107225	0.527089268203963
edge_72	118	35	0.533025460635466	0.164346503	0.0128257	-0.368678957635466
edge_73	117	36	0.114391641963149	-0.339357039	0.0316815	-0.453748680963149
edge_74	86	122	0.0175360028141351	-0.0893705397249235	0.0047533	-0.106906542539059
edge_75	122	123	-0.0893705397249235	-0.094734246767424	0.000287044	-0.00536370704250046
edge_76	123	124	-0.094734246767424	-0.104191677001964	0.00201048	-0.0094574302345401
edge_77	124	125	-0.104191677001964	-0.0953955191777984	0.0011216	0.00879615782416564
edge_78	125	126	-0.0953955191777984	-0.0265916876188884	0.0144221	0.06880383155891
edge_79	126	127	-0.0265916876188884	0.0404111001220745	0.00766793	0.0670027877409629
edge_80	127	37	0.0404111001220745	-0.529668586	0.0555366	-0.570079686122074
edge_81	127	128	0.0404111001220745	0.652157284131413	0.0321921	0.611746184009339
edge_82	128	129	0.652157284131413	0.542476165339536	0.0103334	-0.109681118791878
edge_83	129	38	0.542476165339536	0.097972721	0.00185597	-0.444503444339536
edge_84	129	130	0.542476165339536	1.15185279772464	0.00266237	0.609376632385102
edge_85	130	131	1.15185279772464	1.60159221971436	0.000182771	0.449739421989721
edge_86	131	39	1.60159221971436	2.046446893	1.93496e-05	0.444854673285642
edge_87	131	40	1.60159221971436	0.680274302	4.48773e-05	-0.921317917714358
edge_88	130	41	1.15185279772464	0.52987841	0.000278689	-0.621974387724637
edge_89	128	42	0.652157284131413	1.174264522	0.0176285	0.522107237868587
edge_90	126	132	-0.0265916876188884	-0.100281706559914	0.0185742	-0.0736900189410258
edge_91	132	43	-0.100281706559914	-0.592582724	0.0357833	-0.492301017440086
edge_92	132	44	-0.100281706559914	0.188067438	0.0294519	0.288349144559914
edge_93	125	133	-0.0953955191777984	-0.0313890082624045	0.0208369	0.0640065109153939
edge_94	133	134	-0.0313890082624045	-0.523587196252173	0.0398056	-0.492198187989768
edge_95	134	45	-0.523587196252173	-0.473510994	0.000789453	0.0500762022521729
edge_96	134	46	-0.523587196252173	-0.582528729	0.000777628	-0.0589415327478271
edge_97	133	47	-0.0313890082624045	1.412019943	0.0935042	1.4434089512624
edge_98	124	135	-0.104191677001964	-0.110499304262304	0.000502737	-0.0063076272603404
edge_99	135	136	-0.110499304262304	-0.114304640765044	0.000365614	-0.00380533650273962
edge_100	136	137	-0.114304640765044	-0.157551273225315	0.00629325	-0.0432466324602708
edge_101	137	138	-0.157551273225315	-0.157361310441417	0.00483323	0.000189962783897657
edge_102	138	139	-0.157361310441417	-0.180864276971818	0.00235662	-0.0235029665304005
edge_103	139	48	-0.180864276971818	-0.283199447	0.0374404	-0.102335170028182
edge_104	139	49	-0.180864276971818	-0.452241259	0.0374836	-0.271376982028182
edge_105	138	140	-0.157361310441417	-0.124014074193857	0.00333057	0.0333472362475607
edge_106	140	141	-0.124014074193857	0.0984559224597519	0.0206589	0.222469996653609
edge_107	141	50	0.0984559224597519	-0.513679398	0.027098	-0.612135320459752
edge_108	141	51	0.0984559224597519	1.540806878	0.043238	1.44235095554025
edge_109	140	142	-0.124014074193857	-0.124947335771733	0.00123406	-0.00093326157787603
edge_110	142	52	-0.124947335771733	0.271980012	0.0478239	0.396927347771733
edge_111	142	53	-0.124947335771733	-0.493708573	0.04072	-0.368761237228267
edge_112	137	54	-0.157551273225315	-0.478144386	0.0463874	-0.320593112774685
edge_113	136	55	-0.114304640765044	-0.364310339	0.0706997	-0.250005698234956
edge_114	135	56	-0.110499304262304	-0.297481281	0.0874359	-0.186981976737696
edge_115	123	143	-0.094734246767424	-0.133696472144088	0.00278661	-0.0389622253766636
edge_116	143	144	-0.133696472144088	-0.14994190610599	0.00187151	-0.0162454339619028
edge_117	144	57	-0.14994190610599	-0.526371137	0.0471712	-0.37642923089401
edge_118	144	145	-0.14994190610599	-0.207961770458806	0.0828472	-0.0580198643528161
edge_119	145	146	-0.207961770458806	-0.151141475474734	0.00819307	0.0568202949840723
edge_120	146	58	-0.151141475474734	0.452846207	0.0127901	0.603987682474734
edge_121	146	147	-0.151141475474734	-0.370362423720303	0.00544136	-0.219220948245569
edge_122	147	59	-0.370362423720303	-0.539300414	0.00594836	-0.168937990279697
edge_123	147	60	-0.370362423720303	-0.44920333	0.00663246	-0.0788409062796971
edge_124	145	61	-0.207961770458806	-0.374071836	0.021755	-0.166110065541194
edge_125	143	148	-0.133696472144088	-0.155967458983827	0.00420084	-0.0222709868397392
edge_126	148	62	-0.155967458983827	-0.561671526	0.120016	-0.405704067016173
edge_127	148	63	-0.155967458983827	-0.316553171	0.0835888	-0.160585712016173
edge_128	122	149	-0.0893705397249235	-0.124326894557683	0.00918694	-0.0349563548327597
edge_129	149	64	-0.124326894557683	-0.485386237	0.079224	-0.361059342442317
edge_130	149	150	-0.124326894557683	-0.122209051197994	0.00281462	0.00211784335968898
edge_131	150	65	-0.122209051197994	-0.344277586	0.0759146	-0.222068534802006
edge_132	150	151	-0.122209051197994	-0.0371596376471775	0.0231258	0.0850494135508167
edge_133	151	66	-0.0371596376471775	-0.425919417	0.11478	-0.388759779352822
edge_134	151	67	-0.0371596376471775	0.548140293	0.0828487	0.585299930647178
edge_135	85	152	-0.0592147391082836	-0.0397567048815781	0.0159514	0.0194580342267056
edge_136	152	153	-0.0397567048815781	-0.104173024250053	0.0412669	-0.0644163193684747
edge_137	153	154	-0.104173024250053	-0.125007343213315	0.0250025	-0.0208343189632628
edge_138	154	155	-0.125007343213315	0.0491916379050459	0.00338943	0.174198981118361
edge_139	155	156	0.0491916379050459	-0.065519734109591	0.00703932	-0.114711372014637
edge_140	156	157	-0.065519734109591	-0.360600081552023	0.00174262	-0.295080347442432
edge_141	157	158	-0.360600081552023	-0.486359351733256	0.00198231	-0.125759270181232
edge_142	158	68	-0.486359351733256	-0.44816814	0.000241644	0.0381912117332556
edge_143	158	69	-0.486359351733256	-0.548201513	0.000279212	-0.0618421612667444
edge_144	157	70	-0.360600081552023	-0.506477183	0.00137762	-0.145877101447977
edge_145	156	71	-0.065519734109591	0.248155873	0.00204969	0.313675607109591
edge_146	155	159	0.0491916379050459	0.500933488126896	0.00667363	0.45174185022185
edge_147	159	72	0.500933488126896	-0.53733328	0.00287232	-1.0382667681269
edge_148	159	73	0.500933488126896	1.716853235	0.00283323	1.2159197468731
edge_149	154	160	-0.125007343213315	-0.290964096645553	0.00317754	-0.165956753432237
edge_150	160	74	-0.290964096645553	-0.4639253	0.00698768	-0.172961203354447
edge_151	160	75	-0.290964096645553	-0.532224569	0.00878085	-0.241260472354447
edge_152	153	161	-0.104173024250053	-0.113465118542736	0.0127695	-0.00929209429268342
edge_153	161	162	-0.113465118542736	-0.189588481466104	0.0043767	-0.0761233629233677
edge_154	162	76	-0.189588481466104	0.092193211	0.00587985	0.281781692466104
edge_155	162	77	-0.189588481466104	-0.524105779	0.00512151	-0.334517297533896
edge_156	161	163	-0.113465118542736	0.0798610689217972	0.0116006	0.193326187464533
edge_157	163	78	0.0798610689217972	0.105282129	8.1609e-05	0.0254210600782028
edge_158	163	79	0.0798610689217972	-0.459426915	0.00182913	-0.539287983921797
edge_159	152	164	-0.0397567048815781	0.215728515850788	0.0918747	0.255485220732366
edge_160	164	80	0.215728515850788	0.106909623	0.0343154	-0.108818892850788
edge_161	164	81	0.215728515850788	0.429281717	0.0358796	0.213553201149212
edge_162	84	165	-0.136979967154961	-0.306687028722584	0.0401002	-0.169707061567622
edge_163	165	82	-0.306687028722584	-0.309852768	0.0329315	-0.00316573927741637
edge_164	165	83	-0.306687028722584	-0.490138486	0.0443554	-0.183451457277416
